1. 答案1:  36'5/42
2. 答案2:  15'2/5
3. 答案3:  130'3559/5796
4. 答案4:  57'1424/3871
5. 答案5:  49'108/2567
6. 答案6:  7310
7. 答案7:  2204
8. 答案8:  29'1/6
9. 答案9:  2'9/29
10. 答案10:  6'832/1425
11. 答案11:  1608'19/27
12. 答案12:  18'19/65
13. 答案13:  92'2/11
14. 答案14:  5158'881/2291
15. 答案15:  74
16. 答案16:  99229'5/19
17. 答案17:  62'1/16
18. 答案18:  46'13/14
19. 答案19:  33'34/45
20. 答案20:  64'9/17
21. 答案21:  68'41/300
22. 答案22:  54'10911/23864
23. 答案23:  812
24. 答案24:  34'9709/133200
25. 答案25:  9/38
26. 答案26:  140'90/91
27. 答案27:  15'361/966
28. 答案28:  123202'617/940
29. 答案29:  150'1/2
30. 答案30:  6916/619407
31. 答案31:  81'1/7
32. 答案32:  93'2181/2368
33. 答案33:  38'5/8
34. 答案34:  83/6540
35. 答案35:  138'9/47
36. 答案36:  2942
37. 答案37:  80/97
38. 答案38:  321'31/63
39. 答案39:  1008/18887
40. 答案40:  1'2407/20792
41. 答案41:  102
42. 答案42:  30415'77/155
43. 答案43:  56'291/335
44. 答案44:  34'32/97
45. 答案45:  13/87
46. 答案46:  23'1223/1764
47. 答案47:  12/17
48. 答案48:  57'7/13
49. 答案49:  580'314/385
50. 答案50:  183
51. 答案51:  60'35/39
52. 答案52:  14137'5/6
53. 答案53:  51'427/558
54. 答案54:  1'6619/15386
55. 答案55:  68'48921/69058
56. 答案56:  24'1/7
57. 答案57:  59635/64722
58. 答案58:  1609'1/7
59. 答案59:  1'25/101
60. 答案60:  68'19/45
61. 答案61:  4'704/799
62. 答案62:  1404'292/297
63. 答案63:  26'211/651
64. 答案64:  13'192/331
65. 答案65:  4473
66. 答案66:  2520
67. 答案67:  616'8/59
68. 答案68:  13'6763/8880
69. 答案69:  759878'338/729
70. 答案70:  2'57/64
71. 答案71:  126'33817/59040
72. 答案72:  45'17/18
73. 答案73:  23/73
74. 答案74:  6716
75. 答案75:  15969'6/13
76. 答案76:  66091/2902140
77. 答案77:  89'199/354
78. 答案78:  23/28
79. 答案79:  1'4/5
80. 答案80:  3'4/19
81. 答案81:  16'25/29
82. 答案82:  74'315/328
83. 答案83:  134'9221/211990
84. 答案84:  1343/1489
85. 答案85:  53'32/203
86. 答案86:  1/95
87. 答案87:  33
88. 答案88:  90'35/66
89. 答案89:  5/16
90. 答案90:  25'25/29
91. 答案91:  31'7151/18847
92. 答案92:  155'21/31
93. 答案93:  4'5/19
94. 答案94:  305'852/1537
95. 答案95:  528'144/175
96. 答案96:  227'134/261
97. 答案97:  119529'17/31
98. 答案98:  53'13/22
99. 答案99:  151'73/74
100. 答案100:  8'10376/11151
101. 答案101:  5'845693/935544
102. 答案102:  430'1/2
103. 答案103:  151'11/3648
104. 答案104:  219'65/76
105. 答案105:  2'214/217
106. 答案106:  434'38/53
107. 答案107:  41'15/16
108. 答案108:  2260'3391/4018
109. 答案109:  4182
110. 答案110:  24
111. 答案111:  5'62/121
112. 答案112:  12'58/73
113. 答案113:  9262'323/1419
114. 答案114:  99'7/39
115. 答案115:  3160'10/29
116. 答案116:  116'1479/3626
117. 答案117:  8'46/147
118. 答案118:  13'1319/2268
119. 答案119:  30'7/11
120. 答案120:  3'3/4
121. 答案121:  47'1/3
122. 答案122:  6468
123. 答案123:  1'872021/1045000
124. 答案124:  1'8534/211375
125. 答案125:  42'11/31
126. 答案126:  15'357885/432461
127. 答案127:  143'33/38
128. 答案128:  93'89/330
129. 答案129:  118'5/21
130. 答案130:  220871/261326
131. 答案131:  37
132. 答案132:  8'63/74
133. 答案133:  13'43/96
134. 答案134:  79'34/53
135. 答案135:  70'26/41
136. 答案136:  136'4/13
137. 答案137:  59'32/41
138. 答案138:  394'2/5
139. 答案139:  420
140. 答案140:  14'9074/10241
141. 答案141:  83'151/156
142. 答案142:  113'27851/30210
143. 答案143:  103'379/450
144. 答案144:  6312'24/67
145. 答案145:  13'75/92
146. 答案146:  35'102/259
147. 答案147:  26'13/28
148. 答案148:  72
149. 答案149:  18'2934/3421
150. 答案150:  20'543040/1603413
151. 答案151:  2963'37/153
152. 答案152:  67'5/41
153. 答案153:  988/1039
154. 答案154:  88'381/745
155. 答案155:  35'69/85
156. 答案156:  62'183/1051
157. 答案157:  25'689/3456
158. 答案158:  545'10265/30378
159. 答案159:  31
160. 答案160:  696'27/182
161. 答案161:  2
162. 答案162:  138'1/2
163. 答案163:  9698
164. 答案164:  126'65/77
165. 答案165:  55'4/21
166. 答案166:  17'33/37
167. 答案167:  23'1/2
168. 答案168:  87'67/99
169. 答案169:  277655'22/91
170. 答案170:  99
171. 答案171:  89'920/1577
172. 答案172:  3'52/243
173. 答案173:  16/59
174. 答案174:  336'3099/5054
175. 答案175:  51944'8/11
176. 答案176:  2'57/68
177. 答案177:  600/1693
178. 答案178:  42
179. 答案179:  67'32/37
180. 答案180:  1/17
181. 答案181:  4639'2302/3731
182. 答案182:  2'2506/17233
183. 答案183:  0
184. 答案184:  930/1067
185. 答案185:  1232/4247
186. 答案186:  12896/18315
187. 答案187:  80'117/437
188. 答案188:  3795/7888
189. 答案189:  47'109/513
190. 答案190:  49'6/7
191. 答案191:  71'9/19
192. 答案192:  85'659/870
193. 答案193:  40'5/11
194. 答案194:  102'235/664
195. 答案195:  12'1/6
196. 答案196:  18'7/13
197. 答案197:  186/289
198. 答案198:  94'606/629
199. 答案199:  84'33/71
200. 答案200:  3373'179/261
201. 答案201:  85'73/76
202. 答案202:  32
203. 答案203:  2'68/87
204. 答案204:  186'311/4940
205. 答案205:  36'1/7
206. 答案206:  9/56
207. 答案207:  56'29/32
208. 答案208:  76/97
209. 答案209:  25'1/11
210. 答案210:  38'4176/8401
211. 答案211:  42'1/2
212. 答案212:  14'5199/13832
213. 答案213:  1'12421/18876
214. 答案214:  42750
215. 答案215:  397'4/11
216. 答案216:  42
217. 答案217:  3608/6317
218. 答案218:  2'2/3
219. 答案219:  5'475/482
220. 答案220:  68'339823/532236
221. 答案221:  3713
222. 答案222:  62/79
223. 答案223:  7'1/7
224. 答案224:  5'387/847
225. 答案225:  62'5198/52307
226. 答案226:  113
227. 答案227:  32/53847
228. 答案228:  60'17/20
229. 答案229:  129
230. 答案230:  1'2211/4445
231. 答案231:  52
232. 答案232:  21'5/39
233. 答案233:  23'26/33
234. 答案234:  4806'25/67
235. 答案235:  84'1/2
236. 答案236:  2'11/52
237. 答案237:  30'29/34
238. 答案238:  2781
239. 答案239:  115
240. 答案240:  118'7/16
241. 答案241:  6314
242. 答案242:  1186'1/7
243. 答案243:  71'1037/2904
244. 答案244:  137
245. 答案245:  23'45/62
246. 答案246:  98'42/71
247. 答案247:  49'1/2
248. 答案248:  65'30/97
249. 答案249:  4'23/30
250. 答案250:  89'67/79
251. 答案251:  85
252. 答案252:  5'4/17
253. 答案253:  16296
254. 答案254:  102'211/235
255. 答案255:  101007'17/66
256. 答案256:  27'21/26
257. 答案257:  36
258. 答案258:  131'11/15
259. 答案259:  106'35/41
260. 答案260:  195'1/2
261. 答案261:  5'3/5
262. 答案262:  85'187/392
263. 答案263:  3672
264. 答案264:  41'434/2185
265. 答案265:  65'1/3
266. 答案266:  53'8/29
267. 答案267:  3309'2422/8633
268. 答案268:  1363'45/89
269. 答案269:  95'17/22
270. 答案270:  3340
271. 答案271:  100'2/97
272. 答案272:  4'6062/8811
273. 答案273:  22'6/7
274. 答案274:  151'409/641
275. 答案275:  1428
276. 答案276:  1/39
277. 答案277:  2997'24/101
278. 答案278:  7/9
279. 答案279:  2623'1269/1679
280. 答案280:  37'207/440
281. 答案281:  76'42/89
282. 答案282:  80'11/29
283. 答案283:  3'3831/6643
284. 答案284:  152'849/5936
285. 答案285:  4552'1909/1950
286. 答案286:  144'27429/31540
287. 答案287:  139'2243/3157
288. 答案288:  2250
289. 答案289:  1400'869/3276
290. 答案290:  73'988/1073
291. 答案291:  50'1/4
292. 答案292:  519'3/4
293. 答案293:  530'51525/167854
294. 答案294:  12'10069/18063
295. 答案295:  62'211/247
