1. 四则运算题目1:  41 * 37/42
2. 四则运算题目2:  96 / 9 + 71 / 15
3. 四则运算题目3:  66 + 1/2 / 46 + 64'38/63
4. 四则运算题目4:  59 - 78/79 / 49/81
5. 四则运算题目5:  49 + 2/17 * 32 / 89'13/27
6. 四则运算题目6:  86 * 85
7. 四则运算题目7:  58 * 38
8. 四则运算题目8:  69 - 39'35/42
9. 四则运算题目9:  67 / 29
10. 四则运算题目10:  52 / 12 + 85'13/25 / 38
11. 四则运算题目11:  (20 + 5/18) * 79'1/3
12. 四则运算题目12:  (29 / 5) / 13/41
13. 四则运算题目13:  (65 - 9/11) + 28
14. 四则运算题目14:  58 * 88'28/79 + 33'48/58
15. 四则运算题目15:  58 + 16
16. 四则运算题目16:  81 * 23 * 53'5/19
17. 四则运算题目17:  63 - 30/32
18. 四则运算题目18:  96 + 13/14 - 50
19. 四则运算题目19:  98 * 31/90
20. 四则运算题目20:  (5 + 45) + 19 * 39/51
21. 四则运算题目21:  75 - 7'26/75 * 71/76
22. 四则运算题目22:  (34 - 33/38) + 76'6/64 / 3'25/44
23. 四则运算题目23:  14 * 58
24. 四则运算题目24:  (10 - 43/50) / 72 + 33'35/37
25. 四则运算题目25:  18 / 76
26. 四则运算题目26:  78 + 90/91 + 62
27. 四则运算题目27:  (79 * 12/63) + 30/92
28. 四则运算题目28:  66 * 44'27/94 * 42'6/40
29. 四则运算题目29:  91 + 59 + 2/4
30. 四则运算题目30:  76 / 81 / 84'3/91
31. 四则运算题目31:  22 + 59'9/63
32. 四则运算题目32:  94 - 85/96 / 20/66 / 37
33. 四则运算题目33:  38 + 55/88
34. 四则运算题目34:  1 / 78'66/83
35. 四则运算题目35:  93 + 60'12/47 * 9/12
36. 四则运算题目36:  82 + 65 / 14/56 * 11
37. 四则运算题目37:  68 - 67'17/97
38. 四则运算题目38:  (91 / 27) * 95'19/49
39. 四则运算题目39:  63 / 53'42/64 / 22
40. 四则运算题目40:  99 / 73'11/37 * 57/69
41. 四则运算题目41:  69 + 33
42. 四则运算题目42:  (88 * 6'13/40) * 54'40/62
43. 四则运算题目43:  72 - 49/67 - 9/20 * 32
44. 四则运算题目44:  74 * 45/97
45. 四则运算题目45:  2 / 13'5/13
46. 四则运算题目46:  38 / 98 + 23'11/36
47. 四则运算题目47:  48 / 68
48. 四则运算题目48:  34 / 13/22
49. 四则运算题目49:  76 * (4/28 * 62) - 92'18/55
50. 四则运算题目50:  61 / 1/3
51. 四则运算题目51:  39 - 12 + 33'70/78
52. 四则运算题目52:  10 + 87 * 79 / 18/37
53. 四则运算题目53:  (65 + 59'22/93) * 40/96
54. 四则运算题目54:  27 / 73'8/30 * 3'37/42
55. 四则运算题目55:  (88 - 19'28/73) + 58/88 * 6/43
56. 四则运算题目56:  29 - (22/33 + 5) * 12/14
57. 四则运算题目57:  (2 * 5/69) * 5/28 + 60/67
58. 四则运算题目58:  (32 / 77) * 88 * 44
59. 四则运算题目59:  84 / 67'1/3
60. 四则运算题目60:  73 - 9'26/45 + 5
61. 四则运算题目61:  60 / 7/35 / 61'12/26
62. 四则运算题目62:  48 * 70/77 * 32'16/81
63. 四则运算题目63:  32 * 17/21 + 13/31
64. 四则运算题目64:  16 - 89 / 36'7/9
65. 四则运算题目65:  63 * 71
66. 四则运算题目66:  30 * 84
67. 四则运算题目67:  32 * 19'15/59
68. 四则运算题目68:  39 - 44'69/74 * 13/24 - 27/30
69. 四则运算题目69:  94 * 95'55/81 * 84'44/90
70. 四则运算题目70:  (45 / 32) / 18/37
71. 四则运算题目71:  61 + 65'40/72 + 1'31/82 / 80
